worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9719,4,196825,63
1,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6247,9859,4,194368,63
2,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,9637,4,198438,63
3,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9648,4,196318,63
4,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9718,4,194844,63
5,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,9702,4,199059,63
6,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9886,4,196521,63
7,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,9836,4,198491,63
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,438750,39
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,438750,39
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,438750,39
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,438750,39
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,438750,39
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,438750,39
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,438750,39
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,438750,39
