worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,2093,20755376488,5876,3783,26828698425,2500,0,0,0,0,0
1,1,PHASE_B,6250,3750,2500,2136,20269677621,5830,3694,25555830465,2500,0,0,0,0,0
2,1,PHASE_B,6250,3750,2500,2106,20940222066,5881,3775,27572311717,2500,0,0,0,0,0
3,1,PHASE_B,6250,3750,2500,2160,21618173058,5906,3746,26912514771,2500,0,0,0,0,0
4,1,PHASE_B,6250,3750,2500,2121,21190425799,5909,3788,27292074062,2500,0,0,0,0,0
5,1,PHASE_B,6250,3750,2500,2079,20575521056,5851,3772,27028076310,2500,0,0,0,0,0
6,1,PHASE_B,6250,3750,2500,2149,21021026027,5895,3746,27550497868,2500,0,0,0,0,0
7,1,PHASE_B,6250,3750,2500,2095,20990770788,5902,3807,27137072617,2500,0,0,0,0,0
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
