worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9718,4,195933,63
1,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9714,4,196968,63
2,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9709,4,198227,63
3,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,9659,4,194785,63
4,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,9710,4,198478,63
5,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9687,4,194841,63
6,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9901,4,198831,63
7,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6247,9717,4,194601,63
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,495000,44
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,495000,44
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,495000,44
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,495000,44
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,495000,44
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,495000,44
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,495000,44
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,495000,44
