worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,2163,301457691,5217,3054,565660343,2500,0,0,0,0,0
1,1,PHASE_B,6250,3750,2500,2210,260373603,5117,2907,550328531,2500,0,0,0,0,0
2,1,PHASE_B,6250,3750,2500,2101,325965741,5279,3177,589403848,2500,0,0,0,0,0
3,1,PHASE_B,6250,3750,2500,1834,431804250,5372,3538,630264230,2500,0,0,0,0,0
4,1,PHASE_B,6250,3750,2500,1725,418504274,5261,3536,643757469,2500,0,0,0,0,0
5,1,PHASE_B,6250,3750,2500,1796,446991404,5306,3510,618796175,2500,0,0,0,0,0
6,1,PHASE_B,6250,3750,2500,1712,422942947,5291,3578,630471662,2500,0,0,0,0,0
7,1,PHASE_B,6250,3750,2500,1809,434965165,5322,3510,614259522,2500,0,0,0,0,0
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
