worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9807,4,195038,63
1,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9732,4,198238,63
2,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6247,9836,4,196624,63
3,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6246,9946,4,196007,63
4,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9894,4,195599,63
5,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9869,4,197884,63
6,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9731,4,196676,63
7,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6245,9975,4,194967,63
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
